,stopped,stopped,stopped,moving,moving,moving,idle,idle,idle
,median,mean,std,median,mean,std,median,mean,std
route,,,,,,,,,
athagarh - alwar,0.983333333334,106.684375,253.388819332,0.0,4.95,9.40468406898,0.0,0.0,0.0
athagarh - bhiwandi,0.0,2.92158119658,10.8921106485,2.5,13.4213675214,23.4278228878,0.0,0.0,0.0
athagarh - faridabad,1.2,14.8401960784,44.6195203836,0.0,2.39607843137,4.18047100538,0.0,0.0,0.0
athagarh - visakhapatnam,0.975,36.2291015625,102.748152412,0.0,9.18001302083,18.1469387649,0.0,0.0,0.0
bamaloi - faridabad,1.0,35.5818181818,98.2569935083,0.0,8.18170995671,19.2295341763,0.0,0.0,0.0
bamaloi - visakhapatnam,0.0,17.5393271672,62.9331764066,0.0,8.4190968444,30.6043438676,0.0,0.911615886833,7.85298363253
bamnipal - ahmedabad,2.00833333333,19.4046296296,34.5963581925,0.0,10.8194444444,18.5114654897,0.0,0.0,0.0
bamnipal - alwar,0.5,11.1694444444,24.4969168506,1.0,1.83333333333,2.22860195339,0.0,0.0,0.0
bamnipal - bhiwandi,0.5,15.606345957,72.2613315638,0.0,8.1621801433,17.8392771857,0.0,0.0,0.0
bamnipal - faridabad,0.483333333334,22.0047619048,79.2461212618,0.5,9.90773809524,19.1675137958,0.0,0.0,0.0
bamnipal - jajpur,0.0,21.7949152542,59.0458973139,0.0,3.71414447135,8.554817417,0.0,1.57536319613,13.1058391657
bamnipal - jamshedpur,1.0,41.5712418301,116.061464371,0.0,6.39836601307,13.4581120745,0.0,0.0,0.0
bamnipal - paradip,18.9833333334,137.198989899,215.767005824,0.0,0.363383838384,0.736434118632,0.0,31.5381313131,138.545454874
bamnipal - visakhapatnam,0.0,26.7009661836,124.681840105,0.0,6.01132045088,14.4344105939,0.0,0.196312399356,0.660816598071
dhenkanal - ahmedabad,0.0,18.5755882353,78.9332102911,0.0666666666665,17.5812745098,62.0804463462,0.0,0.0,0.0
dhenkanal - faridabad,1.0,27.3210784314,96.7523822612,0.0,2.67647058824,8.69245785319,0.0,0.0,0.0
dhenkanal - visakhapatnam,0.0,23.44633883,81.074417796,0.0,6.54058696506,16.259676696,0.0,0.304534746761,2.93775816179
duburi - chennai,0.0,0.0,0.0,0.0,28.3327160494,40.4020410972,15.0,130.001234568,227.408463031
"duburi, jajpur - ahmedabad",0.0,0.0,0.0,0.0,42.6024822695,69.2926473261,14.9916666666,124.153014184,258.542863748
"duburi, jajpur - bahadurgarh",0.0,0.0,0.0,0.0,35.6738341969,56.4085313264,15.0,97.2286701209,231.253064728
"duburi, jajpur - changodar",0.0,0.0,0.0,0.0,45.0021505376,72.0459356736,14.9666666667,92.9021505376,184.13472502
"duburi, jajpur - chennai",0.0,0.0,0.0,0.0,36.8659624413,62.087406705,15.0,158.820481221,338.524331932
"duburi, jajpur - faridabad",0.0,0.0,0.0,0.0,38.3022458629,62.2696059589,14.9833333333,123.399408983,262.679389651
"duburi, jajpur - ghaziabad",0.0,0.0,0.0,0.0,48.3333333333,123.186849948,60.0333333333,585.003703703,676.70091276
"duburi, jajpur - hyderabad",0.0,0.0,0.0,0.0,40.2302428256,62.9638878983,15.0,129.636644592,247.793586912
"duburi, jajpur - hyderabad-dist. medak",0.0,1.72696078432,13.880355297,0.0,28.0879084967,56.3780724934,15.0,209.42124183,387.272826849
"duburi, jajpur - ludhiana",0.0,0.0,0.0,0.0,50.3305555556,93.1296431297,7.49166666665,68.4204861112,208.905965936
"duburi, jajpur - thiruninravur",0.0,0.0,0.0,0.0,36.5375,65.2048742598,15.0,141.588541667,303.853561234
"duburi, jajpur - vishakapatnam",0.0,0.0,0.0,0.0,38.2869101979,61.9820889763,15.0,169.931278539,335.066447846
"duburi, jajpur - vishakhapatnam",0.0,0.0,0.0,0.0,34.7788541667,57.9533556844,15.0,134.4390625,266.540558828
durgapur - duburi,1.0,43.4070754717,132.157936359,0.0,7.56933962264,16.1832494132,0.0,0.0,0.0
faridabad - asaudah,0.0,9.58617834395,55.1361741631,0.0,1.48555201699,4.36794817329,0.0,2.67968152866,24.0267127567
faridabad - bawal,0.0,26.8685393258,139.339628502,0.0,5.90599250936,13.7306575125,0.0,7.65131086142,52.1947254748
faridabad - dharuhera,0.0,36.9457831325,151.965120665,0.266666666667,6.27590361446,14.0327875966,0.0,0.0,0.0
faridabad - faridabad rly sdg,0.0,16.6705893925,88.5889605556,0.0,1.46387905257,4.78548272473,0.0,3.55762905257,35.065842524
faridabad - gurgaon,0.0,26.1017628205,154.225367009,0.0,0.840384615385,2.10389233504,0.0,0.733333333334,1.47409123999
faridabad - kosi kalan,0.0,13.5436456064,85.3422085252,0.0,3.25842411039,19.4924284983,0.0,14.1684822077,116.854650882
faridabad - manesar,0.0,16.6040262172,110.733981822,0.0,1.78558052434,3.66863365167,0.0,5.86708801498,47.0679256669
faridabad - maruti-gurgaon,0.0,25.561875,124.582740517,0.0,2.388125,5.50085544668,0.25,26.029375,89.1290755275
faridabad - palwal,0.0,9.92642351492,61.3473438593,0.0,1.46708217913,3.72375474984,0.0,1.89646044937,20.2372246654
faridabad - spl. rly sidng faridabad,0.0,6.72009068713,46.6830832558,0.0,2.4100104639,6.2863564704,0.0,7.43765841181,58.7641696398
garbham - visakhapatnam,90.9416666665,125.245833333,147.780188959,3.0,24.2472222222,55.3792169351,0.0,0.0,0.0
garividi - visakhapatnam,0.0,37.7457304527,98.0913321214,0.0,6.32888374486,32.7579219785,0.0,0.606635802469,3.53588600145
jamshedpur - 3116,0.825,31.0628546099,119.420073548,0.0,9.4007535461,20.1473809755,0.0,0.0,0.0
jamshedpur - agra,0.916666666667,112.196376812,333.007570335,0.0,12.9427536232,21.6552108325,0.0,0.0,0.0
jamshedpur - ahmedabad,0.0,26.9479137691,113.325791442,0.0,13.3057255447,28.9453571667,0.0,5.30442744553,56.2496693392
jamshedpur - ahmednagar,1.0,97.151111111,252.699024932,0.0,3.61055555555,8.04785909911,0.0,0.0,0.0
jamshedpur - attibele,1.0,36.2695963542,142.466359203,0.0,12.1358072917,24.3075509476,0.0,0.0,0.0
jamshedpur - aurangabad,0.5,34.1834166964,131.717227072,0.0,12.0054066929,28.6765261598,0.0,0.0205073240443,0.242420313642
jamshedpur - bangalore,0.0,31.8128480838,131.834451568,0.0,14.5663633857,29.7289029486,0.0,2.28280948442,37.7232359439
jamshedpur - bangalore city,0.466666666666,18.6286842105,87.5942917177,0.491666666666,11.4284210526,24.9071190409,0.0,0.0,0.0
jamshedpur - bardhaman,26.4333333333,26.4333333333,,0.0,0.0,,0.0,0.0,
jamshedpur - barmer,6.0,24.3783333333,45.6519637387,0.0,0.3,0.48304589154,0.0,0.0,0.0
jamshedpur - bengaluru,1.0,24.6146258503,78.3186340614,0.0,11.978425656,22.2334454345,0.0,0.0,0.0
jamshedpur - bhiwadi,0.0,15.8150539707,79.7395959027,0.0,5.77586096119,15.0245462399,0.0,0.259020817271,1.27255955326
jamshedpur - bhubaneshwar,1.0,97.0656565656,230.465769517,0.0,9.98737373737,23.0705127718,0.0,0.0,0.0
jamshedpur - bhubaneswar,2.0,86.9911764706,280.149239253,0.0,11.3068627451,22.6071699686,0.0,0.0,0.0
jamshedpur - budge budge,0.991666666666,29.7256802721,85.7764748509,0.0,8.10867346939,17.0465705737,0.0,0.0,0.0
jamshedpur - bulandshahr,198.516666667,198.516666667,,0.0,0.0,,0.0,0.0,
jamshedpur - burdwan,1.0,76.6155555556,134.907796183,0.0,0.8,1.08232553856,0.0,0.0,0.0
jamshedpur - calcutta,1.0,116.691784038,307.943541154,0.0,11.1950704225,21.9779267684,0.0,0.0,0.0
jamshedpur - calicut,178.691666667,178.691666667,155.080302227,0.0,0.0,0.0,0.0,0.0,0.0
jamshedpur - chengalpattu,1.0,1.0,,0.0,0.0,,0.0,0.0,
jamshedpur - chennai,1.0,39.2913754853,142.061610379,0.0,11.7110926234,24.7270099151,0.0,0.0,0.0
jamshedpur - cuttack,0.991666666666,54.355952381,188.792136926,0.0,7.50097402597,19.2096810665,0.0,0.0,0.0
jamshedpur - dahej,1.0,147.142105263,337.002533802,0.0,10.0254385965,24.0388254951,0.0,0.0,0.0
jamshedpur - dhanbad,42.9833333333,54.7857142858,61.7070426594,0.0,0.285714285714,0.487950036474,0.0,0.0,0.0
jamshedpur - dudhola,161.183333333,161.183333333,,0.0,0.0,,0.0,0.0,
jamshedpur - ernakulam,1.0,41.7133196721,132.425317658,0.0,5.27404371585,14.4290631225,0.0,0.0,0.0
jamshedpur - ernakulam town,0.0,13.3750677507,60.4092917201,0.0,12.7922764228,23.5451775117,0.0,0.0,0.0
jamshedpur - erode,69.15,123.406666667,141.360912502,0.0,0.4,0.547722557505,0.0,0.0,0.0
