route,vehicle_no,total_stopped,total_moving,total_idle
athagarh - alwar,OD05Z2005,56.8983333334,2.64,0.0
athagarh - bhiwandi,WB25G4457,3.79805555556,17.4477777778,0.0
athagarh - faridabad,OD11A2306,4.20472222222,0.678888888889,0.0
athagarh - visakhapatnam,OD05Z2005,2.98722222222,0.0925,0.0
athagarh - visakhapatnam,OD05J9266,30.6455555555,11.81,0.0
athagarh - visakhapatnam,OD05J3030,38.8172222222,12.1186111111,0.0
athagarh - visakhapatnam,OD11A2306,15.7911111111,0.266666666667,0.0
athagarh - visakhapatnam,OD05AC8545,33.0838888889,11.0461111111,0.0
athagarh - visakhapatnam,OD05AC5222,17.1425,0.316666666667,0.0
athagarh - visakhapatnam,OR05AR4275,14.2427777778,3.5175,0.0
athagarh - visakhapatnam,OD05AC5123,1.85055555555,0.0,0.0
athagarh - visakhapatnam,OR05AA6215,0.0166666666667,0.0,0.0
bamaloi - faridabad,RJ05GC1121,75.4955555555,20.4480555556,0.0
bamaloi - faridabad,RJ02GB1868,15.8311111111,0.551666666666,0.0
bamaloi - visakhapatnam,AP26TB1119,21.9152777778,16.4555555556,0.0
bamaloi - visakhapatnam,AP22W0027,14.6725,3.43638888889,0.0
bamaloi - visakhapatnam,AP30V9459,28.2019444445,15.7175,0.0
bamaloi - visakhapatnam,AP16TE0589,31.3330555555,17.6202777778,0.0
bamaloi - visakhapatnam,AP16TE0559,33.0175,17.2727777778,0.0
bamaloi - visakhapatnam,AP15X4679,9.21111111111,4.37944444445,0.0
bamaloi - visakhapatnam,AP31TA3789,32.3652777778,35.5263888889,0.0
bamaloi - visakhapatnam,AP31TD2347,31.6175,17.9616666667,0.0
bamaloi - visakhapatnam,AP31TD2479,25.87,17.2302777778,0.0
bamaloi - visakhapatnam,AP31TD2889,32.0325,17.9125,0.0
bamaloi - visakhapatnam,AP26TD9162,1.80277777778,0.0,0.0
bamaloi - visakhapatnam,AP31TH2527,2.55361111112,0.0,0.0
bamaloi - visakhapatnam,AP31TH5767,10.8261111111,0.0,0.0
bamaloi - visakhapatnam,AP31TU1458,3.31861111111,3.3025,6.19194444444
bamaloi - visakhapatnam,OD15J2255,0.379166666667,0.0,0.0
bamaloi - visakhapatnam,OD15G7367,18.3811111111,1.46666666667,0.0
bamaloi - visakhapatnam,OD15G3917,19.0433333333,0.0166666666667,0.0
bamaloi - visakhapatnam,AP35X9666,5.83611111111,0.4,0.0
bamaloi - visakhapatnam,OD15F9185,2.80305555555,0.0,0.0
bamaloi - visakhapatnam,OD15F4951,8.18694444445,0.0666666666667,0.0
bamaloi - visakhapatnam,OD15E8660,10.8202777778,6.50166666667,0.0
bamaloi - visakhapatnam,AP16TC4479,2.50305555555,0.0,0.0
bamaloi - visakhapatnam,AP05TG0018,29.4008333333,16.4036111111,0.0
bamaloi - visakhapatnam,AP05TD7128,32.2294444444,16.6955555556,0.0
bamaloi - visakhapatnam,AP35W2385,51.4441666667,22.7675,21.7338888889
bamaloi - visakhapatnam,AP35W0429,0.549166666667,0.0,0.0
